Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,0.4601,7.8680,5.6164,4.6681,5.1390,4.8298,5.3745,4.1500,5.0792,1.1373,5.4739,2.7895,4.5775,5.4686,1.4252,2.3753,1.1415,1.5168,2.9162,5.4574,4.0170,0.3196,0.0226,3.3666,-0.1155,2.2607,3.9645,4.2723,2.6978,0.1820,-0.0927,-2.3551,-0.5916,1.8990,4.2832,5.4548,3.8388,1.7584,2.6560,3.2198,3.5101,3.8416,2.9634,5.5574,6.1648,6.5776,6.6466,4.3711,0.8803,5.2338,4.0690,1.7562,4.2503,3.9832,3.0116,2.1836,2.6514,2.6817,2.1893,-2.7804,4.4974,3.5544,2.6223
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.8735,3.7076,7.1458,5.4064,4.1025,-1.5376,-9.1015,1.5640,15.2665,17.5664,10.5826,3.1755,4.0247,10.0550,-2.1577,8.4719,4.5867,-1.9506,5.0980,1.9186,-6.7950,-3.2986,-6.3636,0.5082,5.3993,1.3601,1.4046,4.7254,1.7153,5.7738,1.0094,2.4837,-1.3176,-0.3235,1.9191,4.6498,4.4470,3.6093,1.5450,3.8598,5.2091,9.9274,5.5330,7.9927,5.8289,5.3748,5.5227,6.2815,6.2821,6.9706,4.8493,5.1354,6.1066,5.9256,2.8140,0.1415,2.2850,2.8426,3.2220,-1.0044,3.9949,3.7845,3.3428
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,6.7414,10.8322,7.4703,22.3204,9.1186,15.4774,14.0467,10.6574,-1.6801,15.3934,7.1199,0.6045,11.0263,6.2403,0.4283,-7.7637,-5.3309,1.2813,-1.2997,3.3816,-0.7744,5.0598,3.5479,9.5166,1.4155,6.2889,2.5944,3.1690,2.7169,4.5907,4.9437,4.8477,1.8588,6.5981,1.6786,0.6666,4.8710,8.8729,5.4666,6.1658,4.4950,5.5508,0.4092,4.8146,3.5729,5.0036,2.5200,2.3837,3.3876,3.6094,1.5113,2.6232,1.6711,-5.4010,5.1166,5.7931,0.9298
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,7.3765,6.6880,0.6744,8.5670,10.5954,8.5756,8.8215,6.5744,7.3730,1.0786,2.8725,-1.1580,2.9282,-6.0588,-3.4045,4.8245,5.5482,7.0476,9.5626,2.6122,-1.8337,-1.1325,0.3105,6.0499,3.6177,3.2432,2.0035,3.8583,4.6411,-0.8726,-0.9876,-0.5398,0.9070,3.3123,2.8394,4.0569,3.3916,3.5773,3.9415,3.6590,1.2996,2.1548,1.8494,2.8234,3.2806,4.4563,3.3002,0.5422,-2.5998,0.9915,1.7168,2.3280,0.0738,1.7638,0.6980,0.4720,1.9433,2.8912,1.0247,-9.1935,10.4440,22.4782,12.7159
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8654,-4.9982,0.1994,3.6853,5.4921,4.5469,2.3137,2.6801,1.9069,3.9569,3.0806,3.6147,4.0871,5.8400,5.0190,6.5948,6.4330,3.9356,-3.5065,1.4363,3.5142,0.8258,0.6677,3.2158,4.0263,2.7532,5.1013,4.9464,3.9085,-3.4175,6.4334,4.2471,0.5117
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.7767,4.0113,5.3100,8.3524,6.1453,4.3296,5.6563,7.2242,6.7380,8.2899,5.7810,7.1308,7.2411,6.9348,2.4782,7.2733,4.1058,1.5333,4.2329,3.3999,3.6124,-0.0361,0.1766,2.0823,0.9559,2.4887,2.6341,3.5630,2.3157,5.4507,4.8009,4.0450,3.4164,3.4147,2.4599,5.7501,4.8098,2.4619,2.0923,4.4282,1.0309,1.7733,5.3218,6.1489,5.8549,6.0280,5.6723,3.4448,0.6352,6.5134,4.9184,4.1827,4.0580,4.1208,4.4136,4.4197,4.6329,3.8402,2.4023,-4.3683,7.6214,5.5828,4.0438
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.8373,5.4499,7.7639,10.3970,6.9700,8.6075,7.3468,9.3263,11.4758,3.8911,5.2793,7.1627,7.6653,1.0013,3.5695,4.1745,5.1835,5.7925,5.8963,3.7787,4.6679,4.1483,4.4275,6.1603,5.6991,4.9211,6.2660,7.6027,5.1611,5.0675,4.8545,4.2442,4.1987,5.2384,5.6689,5.6207,4.0544,0.4510,3.7374,5.3962,3.2990,4.3773,4.9476,5.8676,5.8993,6.4538,7.4666,4.3850,2.5609,7.6096,5.4619,5.1831,5.2451,4.7587,4.7284,4.6591,5.0532,4.7592,3.9602,-0.1447,6.2211,2.8860,4.0952
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.3283,-0.6403,6.4394,10.7848,10.7818,8.0023,-1.4206,1.7736,11.3845,13.4417,6.7736,4.9039,8.2670,3.8595,6.8300,2.8286,7.4133,9.2066,7.0030,7.4986,5.5725,6.4104,7.7244,9.9386,7.8900,7.1240,9.1786,9.7392,5.7504,5.1518,8.0035,11.1817,11.2665,10.9353,9.8740,9.0630,7.3426,2.8937,6.3789,7.6466,6.9794,8.0601,8.9447,9.1213,9.9770,11.0785,12.4867,8.6157,7.9850,9.9214,8.6430,7.5803,7.2987,6.9843,6.7072,6.5647,6.7077,6.5250,5.7819,1.2469,7.6037,3.4136,5.0685
East Asia & Pacific (IDA & IBRD countries),TEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.3283,-0.6403,6.4394,10.7848,10.7818,8.0023,-1.4206,1.7736,11.3845,13.4417,6.7695,4.9015,8.2623,3.8580,6.8265,2.8257,7.4081,9.2004,6.9986,7.4943,5.5694,6.4072,7.7214,9.9355,7.8880,7.1224,9.1765,9.7372,5.7495,5.1511,8.0008,11.1778,11.2628,10.9344,9.8736,9.0625,7.3419,2.8934,6.3778,7.6457,6.9793,8.0598,8.9440,9.1209,9.9765,11.0779,12.4862,8.6154,7.9844,9.9211,8.6429,7.5802,7.2985,6.9843,6.7072,6.5646,6.7074,6.5248,5.7818,1.2468,7.6034,3.4136,5.0684
Euro area,EMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.7472,5.7609,4.9090,5.8842,5.0481,4.4128,3.4783,5.6602,7.1332,5.5970,3.7729,4.8912,6.1516,3.2137,-0.7726,5.0272,3.0856,3.1235,3.8735,2.1593,0.5239,0.7127,1.3902,2.3787,2.3129,2.5076,2.5335,4.3059,4.0995,3.6037,2.3139,1.1073,-0.7363,2.4470,2.4405,1.7071,2.7214,3.0327,2.9486,3.8612,2.1992,0.9595,0.7027,2.3019,1.6929,3.2392,3.0112,0.4247,-4.5341,2.1647,1.7146,-0.8507,-0.2192,1.3983,2.0544,1.8658,2.6286,1.7889,1.5904,-6.1101,5.9633,3.4261,0.4468
Europe & Central Asia,ECS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.2001,4.7039,4.8783,5.8679,4.4559,3.8163,3.4700,5.4011,5.9489,4.9850,3.7286,4.6731,5.8755,2.1752,-0.8096,4.4071,2.8764,3.1163,3.7009,1.4788,0.5048,0.9650,1.9503,2.6486,2.7709,2.7472,3.0922,4.2016,3.5110,2.2937,0.1524,-0.7101,-0.7871,1.2140,2.1496,1.7835,3.0760,2.6282,2.8779,4.3553,2.2584,1.5843,1.7949,3.1909,2.6718,3.8650,3.6516,1.0166,-4.4579,2.6593,2.3476,0.3600,0.8478,1.9266,2.0581,1.8998,2.9087,2.1344,1.8053,-5.4624,6.5239,3.1575,0.9640
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2951,1.2421,2.7573,-4.6863,-4.7226,-2.0513,-10.0089,0.9302,3.9459,5.5332,2.2639,-1.1872,6.7788,-0.1331,6.3961,6.6014,9.6336,8.4601,8.2285,7.0752,3.0627,-3.4516,7.0675,8.5866,4.0505,6.5860,3.3729,3.5876,2.7853,5.8215,3.5135,2.2472,0.3211,9.0004,3.0776,4.6066
Europe & Central Asia (IDA & IBRD countries),TEC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4565,-5.8985,-9.5470,-4.6530,-8.4239,-0.1420,1.0177,2.9381,-0.6390,2.4669,7.3597,2.5931,5.0120,6.1812,7.8681,6.6433,7.8532,7.6275,4.4563,-4.6725,4.6326,5.9285,3.4560,3.3915,2.3378,1.4882,1.8525,4.2925,3.6947,2.6571,-1.4629,7.3865,1.7680,3.4450
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.7551,5.6950,4.8077,6.0114,5.2493,4.2937,3.5721,5.5641,7.0250,5.5083,3.6609,4.7738,6.0185,3.1258,-0.5865,4.8770,2.9293,3.0665,3.8577,2.0524,0.5400,0.8372,1.4399,2.4983,2.3207,2.5733,2.5385,4.1113,3.8812,3.3050,1.4194,0.8878,-0.6416,2.6386,2.6786,1.8814,2.6532,3.0108,2.9487,3.9005,2.1759,1.1108,0.9083,2.5925,1.9247,3.4944,3.1561,0.6413,-4.3487,2.2251,1.9010,-0.7019,-0.0826,1.6007,2.3094,1.9723,2.8448,2.0669,1.8053,-5.6529,6.0087,3.4787,0.4507
