Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.7074,46.1187,46.4793,46.7724,47.3502,47.4205,47.1183,47.8452,48.1520,48.3989,48.6813,49.2065,48.9154,49.5970,49.4880,49.6190,50.3314,50.6852,50.9294,51.3650,51.7180,52.2220,52.4934,50.8975,51.0160,51.3480,52.0056,52.5974,51.9875,53.0807,53.0658,52.7461,52.3678,52.7353,53.0321,53.1898,52.9604,53.0386,52.6207,53.3961,53.6622,53.7726,54.1049,54.4954,55.0200,55.7177,56.6713,57.5313,58.3794,59.4510,60.3097,61.3003,62.1480,62.9359,63.6412,64.1911,64.8678,65.3040,65.8281,66.2197,65.8365,65.0785,65.4906
Africa Eastern and Southern,AFE,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,42.5432,42.7429,43.1134,43.1578,43.7051,43.6827,43.4902,44.1149,44.4033,44.5792,44.8665,45.2897,44.9977,45.8845,45.8107,46.0004,46.4799,46.7053,46.7389,47.2852,47.6924,48.0393,48.2470,46.6510,46.4402,46.7984,47.3736,47.6960,46.9194,48.3708,48.2337,48.1038,47.6513,47.9093,48.7720,48.8400,48.6764,48.9098,48.0878,49.1074,50.2368,50.5733,50.9384,51.5061,52.0292,52.6793,53.5823,54.2943,54.9410,55.7571,56.4796,57.2591,57.9297,58.4717,59.0281,59.5175,60.0212,60.5358,60.9052,61.2907,60.8175,59.8945,60.3621
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.0856,44.3867,44.7522,44.9132,45.4790,45.4983,45.2491,45.9249,46.2231,46.4323,46.7185,47.1929,46.8974,47.6923,47.5981,47.7599,48.3496,48.6359,48.7636,49.2613,49.6365,50.0571,50.2968,48.7033,48.6527,49.0116,49.6397,50.0759,49.3597,50.6841,50.6077,50.3905,49.9621,50.2736,50.8826,51.0019,50.8107,50.9742,50.3259,51.2379,51.9645,52.1896,52.5408,53.0220,53.5455,54.2197,55.1505,55.9338,56.6804,57.6209,58.4111,59.2933,60.0508,60.7099,61.3379,61.8565,62.4441,62.9224,63.3659,63.7557,63.3139,62.4546,62.8990
Africa Western and Central,AFW,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,39.3846,39.7043,39.9354,40.2835,40.6099,40.8449,41.0361,41.0035,41.5719,41.7903,42.2137,42.6780,43.3663,43.9217,44.5704,45.3177,46.1879,46.9686,47.5924,48.0041,48.3712,48.6077,48.8588,49.1171,49.2613,49.3999,49.4195,49.7338,49.9587,50.1499,50.2290,50.1628,50.2556,50.3293,50.1307,50.2328,50.3494,50.5070,50.5922,51.0046,51.3825,51.6765,52.0339,52.5246,52.8903,53.3975,53.8316,54.2467,54.5377,55.0771,55.4406,55.9254,56.2607,56.6173,56.8809,57.1643,57.4486,57.8422,58.1132,58.5460,58.3462,58.0998,58.7175
Africa Western and Central,AFW,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,36.4494,36.7641,37.5664,37.8787,38.1010,38.4274,38.6759,38.0148,38.6643,38.9694,39.8901,40.4661,41.1632,41.8156,42.4515,43.1131,43.8516,44.5070,44.9882,45.3866,45.7033,46.0304,46.2428,46.4985,46.6451,46.6881,46.7575,46.8057,47.1155,47.2797,47.1521,47.2176,47.2765,47.3914,47.2844,47.3870,47.5151,47.7011,48.1019,48.5241,49.0777,49.4657,49.8333,50.2950,50.7570,51.2965,51.8346,52.2578,52.7420,53.2411,53.6579,54.1013,54.4221,54.7328,54.9677,55.2335,55.7171,55.9427,56.2718,56.5774,56.1310,55.9034,56.5567
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.8452,38.1649,38.7351,39.0637,39.3354,39.6180,39.8378,39.4715,40.0857,40.3504,41.0348,41.5567,42.2498,42.8550,43.4977,44.2013,45.0032,45.7199,46.2695,46.6737,47.0152,47.2972,47.5294,47.7853,47.9319,48.0217,48.0668,48.2379,48.5129,48.6898,48.6500,48.6625,48.7373,48.8320,48.6819,48.7838,48.9063,49.0792,49.3329,49.7501,50.2220,50.5651,50.9278,51.4034,51.8191,52.3446,52.8321,53.2517,53.6412,54.1594,54.5502,55.0131,55.3406,55.6734,55.9222,56.1959,56.5817,56.8884,57.1891,57.5558,57.2264,56.9887,57.6262
Arab World,ARB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,46.7420,47.4575,47.9698,48.6530,49.5087,49.8700,50.1584,50.6840,51.1507,51.5873,52.1007,52.9984,53.5428,54.3271,54.9312,55.5956,55.8639,57.0617,57.8248,58.5506,59.3344,59.9313,60.4527,61.1748,61.8597,62.5825,63.7606,63.6947,63.4190,64.7547,65.2303,65.2593,65.5181,66.5070,67.3994,67.4210,67.7420,68.0507,67.9230,68.8075,69.3069,69.6266,69.9406,69.9899,70.1352,70.4401,70.8961,71.2555,71.4527,71.8729,72.0871,72.3204,72.3411,72.4262,72.7307,72.8903,73.2284,73.7323,73.8424,73.9393,73.1127,72.9897,73.3737
Arab World,ARB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,43.3251,44.0102,44.4097,45.3935,46.3686,46.6846,46.8567,47.2510,47.8373,48.1636,48.7041,49.6827,50.2671,50.8483,51.5495,51.9562,52.3775,53.7363,54.4793,55.1803,55.4173,55.6783,55.9204,56.6460,57.3407,58.0839,58.9460,58.9340,58.2417,60.4169,60.8345,61.2571,61.5987,62.5770,63.7106,63.4269,63.8379,64.0903,63.8812,65.0774,65.4254,65.7682,66.0596,65.8887,65.8382,66.0752,66.4514,66.8230,67.3018,67.9017,68.1434,68.3547,68.1982,68.1691,68.4536,68.8065,68.8646,69.3337,69.6094,69.9070,68.9362,68.8324,69.2570
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.9729,45.6764,46.1226,46.9725,47.8958,48.2321,48.4571,48.9129,49.4451,49.8222,50.3513,51.2964,51.8645,52.5397,53.1944,53.7099,54.0475,55.3615,56.1122,56.8263,57.3024,57.6929,58.0548,58.7874,59.4790,60.2157,61.2213,61.1697,60.6090,62.4811,62.9280,63.1796,63.4744,64.4583,65.4967,65.3498,65.7184,65.9944,65.8077,66.8767,67.2973,67.6317,67.9356,67.8590,67.8959,68.1627,68.5672,68.9287,69.2864,69.8126,70.0413,70.2615,70.1805,70.1965,70.4926,70.7582,70.9431,71.4296,71.6330,71.8446,70.9234,70.8145,71.2273
Caribbean small states,CSS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,61.2925,61.6538,62.6439,63.1369,63.8868,64.2664,64.5977,64.9533,65.2033,65.4655,65.7699,65.8457,66.1399,66.3440,66.6373,66.9537,67.2013,67.3879,67.5962,67.7427,67.9711,68.1985,68.3600,68.6067,68.9019,69.0357,69.3172,69.4117,69.6415,69.7872,69.9504,70.1371,70.4150,70.6596,70.8463,70.8420,70.9956,71.0245,71.2013,71.3285,71.5804,71.7830,71.9323,71.9635,72.3082,72.6785,73.1228,73.5087,73.7935,74.1206,74.3208,74.3920,74.5092,74.5960,74.8036,75.0590,75.4175,75.6576,75.9750,75.5182,75.6857,73.7574,74.3051
