Entity,Code,Year,"Crude marriage rate (per 1,000 inhabitants)"
Argentina,ARG,1970,7.5
Argentina,ARG,1983,6.300000191
Argentina,ARG,1995,4.300000191
Argentina,ARG,2005,3.400000095
Argentina,ARG,2006,3.400000095
Argentina,ARG,2010,3
Argentina,ARG,2011,3.1
Argentina,ARG,2012,3.2
Argentina,ARG,2013,2.9
Argentina,ARG,2014,2.8
Argentina,ARG,2015,2.8
Argentina,ARG,2016,2.7
Australia,AUS,1970,9.3
Australia,AUS,1980,7.4
Australia,AUS,1981,7.6
Australia,AUS,1982,7.7
Australia,AUS,1983,7.5
Australia,AUS,1984,7
Australia,AUS,1985,7.3
Australia,AUS,1986,7.2
Australia,AUS,1987,7
Australia,AUS,1988,7.1
Australia,AUS,1989,7
Australia,AUS,1990,6.9
Australia,AUS,1991,6.6
Australia,AUS,1992,6.6
Australia,AUS,1993,6.4
Australia,AUS,1994,6.2
Australia,AUS,1995,6.1
Australia,AUS,1996,5.8
Australia,AUS,1997,5.8
Australia,AUS,1998,5.9
Australia,AUS,1999,6
Australia,AUS,2000,5.9
Australia,AUS,2001,5.3
Australia,AUS,2002,5.4
Australia,AUS,2003,5.3
Australia,AUS,2004,5.5
Australia,AUS,2005,5.4
Australia,AUS,2006,5.5
Australia,AUS,2007,5.5
Australia,AUS,2008,5.5
Australia,AUS,2009,5.5
Australia,AUS,2010,5.4
Australia,AUS,2011,5.4
Australia,AUS,2012,5.4
Australia,AUS,2013,5.1
Australia,AUS,2014,5.2
Australia,AUS,2015,4.8
Australia,AUS,2016,4.9
Australia,AUS,2017,4.6
Bolivia,BOL,1970,4.199999809
Bolivia,BOL,1980,5
Bolivia,BOL,1995,2.900000095
Bolivia,BOL,2005,2.400000095
Bolivia,BOL,2006,2.200000048
Chile,CHL,1970,8.1
Chile,CHL,1985,7.5
Chile,CHL,1992,6.6
Chile,CHL,1993,6.7
Chile,CHL,1994,6.5
Chile,CHL,1995,6.1
Chile,CHL,1996,5.8
Chile,CHL,1997,5.3
Chile,CHL,1998,5
Chile,CHL,1999,4.6
Chile,CHL,2000,4.4
Chile,CHL,2001,4.1
Chile,CHL,2002,3.9
Chile,CHL,2003,3.6
Chile,CHL,2004,3.3
Chile,CHL,2005,3.3
Chile,CHL,2006,3.5
Chile,CHL,2007,3.5
Chile,CHL,2008,3.3
Chile,CHL,2009,3.3
Chile,CHL,2010,3.5
Chile,CHL,2011,3.8
Chile,CHL,2012,3.7
Chile,CHL,2013,3.5
Chile,CHL,2014,3.6
Chile,CHL,2015,3.4
Chile,CHL,2016,3.4
Ireland,IRL,1960,5.5
Ireland,IRL,1961,5.4
Ireland,IRL,1962,5.5
Ireland,IRL,1963,5.5
Ireland,IRL,1964,5.6
Ireland,IRL,1965,5.9
Ireland,IRL,1966,5.8
Ireland,IRL,1967,6.1
Ireland,IRL,1968,6.5
Ireland,IRL,1969,6.9
Ireland,IRL,1970,7
Ireland,IRL,1971,7.4
Ireland,IRL,1972,7.3
Ireland,IRL,1973,7.4
Ireland,IRL,1974,7.3
Ireland,IRL,1975,6.7
Ireland,IRL,1976,6.4
Ireland,IRL,1977,6.1
Ireland,IRL,1978,6.4
Ireland,IRL,1979,6.2
Ireland,IRL,1980,6.4
Ireland,IRL,1981,6
Ireland,IRL,1982,5.8
Ireland,IRL,1983,5.5
Ireland,IRL,1984,5.2
Ireland,IRL,1985,5.3
Ireland,IRL,1986,5.2
Ireland,IRL,1987,5.2
Ireland,IRL,1988,5.2
Ireland,IRL,1989,5.2
Ireland,IRL,1990,5.1
Ireland,IRL,1991,4.9
